Cynodictis lacustris,species,37.2,33.9,35.55
Cuon,genus,0.781,0.0117,0.39635000000000004
Hesperocyon,genus,46.2,40.4,43.3
Neovulpavus washakius,species,46.2,40.4,43.3
Hesperocyon,genus,40.4,33.9,37.15
Hesperocyon gregarius,species,40.4,37.2,38.8
Hesperocyon gregarius,species,37.2,33.9,35.55
Hesperocyon gregarius,species,37.2,33.9,35.55
Hesperocyon gregarius,species,37.2,33.9,35.55
Hesperocyon,genus,37.2,33.9,35.55
Hesperocyon gregarius,species,37.2,33.9,35.55
Hesperocyon gregarius,species,37.2,33.9,35.55
Canidae,family,37.2,33.9,35.55
Hesperocyon gregarius,species,37.2,33.9,35.55
Hesperocyon gregarius,species,37.2,33.9,35.55
Hesperocyon gregarius,species,37.2,33.9,35.55
Hesperocyon,genus,37.2,33.9,35.55
Hesperocyon,genus,37.2,33.9,35.55
Hesperocyon gregarius,species,37.2,33.9,35.55
Hesperocyon gregarius,species,37.2,33.9,35.55
Hesperocyon gregarius,species,37.2,33.9,35.55
Hesperocyon,genus,37.2,33.9,35.55
Hesperocyon,genus,37.2,33.9,35.55
Hesperocyon gregarius,species,37.2,33.9,35.55
Hesperocyon,genus,37.2,33.9,35.55
Hesperocyon,genus,37.2,33.9,35.55
Hesperocyon gregarius,species,37.2,33.9,35.55
Hesperocyon,genus,37.2,33.9,35.55
Hesperocyon gregarius,species,37.2,33.9,35.55
Hesperocyon gregarius,species,37.2,33.9,35.55
Hesperocyon gregarius,species,37.2,33.9,35.55
Hesperocyon gregarius,species,37.2,33.9,35.55
Hesperocyon,genus,37.2,33.9,35.55
Hesperocyon,genus,37.2,33.9,35.55
Hesperocyon gregarius,species,37.2,33.9,35.55
Hesperocyon gregarius,species,37.2,33.9,35.55
Canidae,family,37.2,33.9,35.55
Hesperocyon gregarius,species,37.2,33.9,35.55
Hesperocyon,genus,37.2,33.9,35.55
Hesperocyon gregarius,species,37.2,33.9,35.55
Hesperocyon,genus,37.2,33.9,35.55
Hesperocyon gregarius,species,37.2,33.9,35.55
Hesperocyon gregarius,species,37.2,33.9,35.55
Hesperocyon gregarius,species,37.2,33.9,35.55
Hesperocyon gregarius,species,37.2,33.9,35.55
Hesperocyon gregarius,species,37.2,33.9,35.55
Hesperocyon gregarius,species,37.2,33.9,35.55
Hesperocyon gregarius,species,37.2,33.9,35.55
Hesperocyon gregarius,species,37.2,33.9,35.55
